id,title,genre,date,key,title_imslp,notes,sources
162,Tenebrae,responsories,c. 1770–1772,E-flat major,"Tenebrae factae sunt, MH 162",reused in MH 628,
163,Alma redemptoris mater,antiphons,c. 1770–1772,F major,,,CZ-Pnm XLIX E 298 (550270496)
164,Alma redemptoris mater,antiphons,c. 1770–1772,D major,,,"A-SEI F.V.1b, A-MZ"
165,O Maria Virgo spes,offertories,c. 1770–1772,B-flat major,,,A-Sd A 571 (659000653)
166,Steh auf!,offertories,c. 1770–1772,G major,,,A-Ee
167,Erhebet euch ihr Augenlieder,arias,c. 1770–1772,D major,,,A-Ssp Hay 1640.1
168,O glorreiche Himmelssonne,arias,c. 1770–1772,C major,,,A-Ssp Hay 1660.1
169,"Große Frau, wir rufen Dich",offertories,c. 1770–1772,A major,,,"A-Ssp Hay 1665.1, A-LA 1475 (603002718)"
170,Sei fröhlich mein Isaak,duets,c. 1770–1772,E-flat major,,,A-SEI R 425 (600026348)
171,Cassatio,cassations,c. 1770–1772,D major,,,
172,Divertimento,divertimentos,c. 1770–1772,G major,,,
173,Divertimento,divertimentos,c. 1770–1772,D major,"Divertimento in D major, MH 173",,
173a,Divertimento,divertimentos,c. 1770–1772,G major,,,
174,Quartetto,quartets,c. 1770–1772,D major,,fragment,
175,Quartetto,quartets,c. 1770–1772,B-flat major,,,
176,Cadenze e Versetti,cadenzas , versets,c. 1770–1772,D minor,"Cadenze e Versetti, MH 176",
177,Contrapunctal studies,methods,c. 1770–1772,-,,,
178,Dank dem Geber,songs,c. 1770–1772,C major,,,
179,Divertimento,divertimentos,c. 1770–1772,C major,"Divertimento in C major, MH 179",,
180,"Kommt her, ihr Menschen",arias,1772-01-13,C major,"Kommt her, ihr Menschen, MH 180",,
181,Der gute Hirt,sacred cantatas,1772-04-04,G major,,reuses sinfonia of MH 144,
182,Missa Sancti Joannis Nepomuceni,masses,1772-05-21,C major,"Missa Sancti Joannis Nepomuceni, MH 182",,
183,Tres sunt,offertories,1772-06-07,C major,"Tres sunt qui testimonium dant in caelo, MH 183",,
184,Sinfonia,sinfonias,1772-06-15,B-flat major,,finale for MH 82,
185,Notturno,nocturnes,1772-12-21,F major,,,
186,Endimione,serenatas,c. 1773,G major,,,
187,Notturno,nocturnes,1773-02-17,C major,"String Quintet in C major, MH 187",,
188,Sinfonia,sinfonias,1773-08-23,C major,,,
189,Notturno,nocturnes,1773-12-01,G major,,,
190,Egregie Doctor Paule,graduals,c. 1774,B-flat major,,,H-Bn Ms.mus II.28 (530001687)
191,Regina coeli,antiphons,c. 1774,B-flat major,,,"A-Ssp, A-Gmi"
192,"Seele, Dein Heiland ist frei",sacred songs,c. 1774,B-flat major,"Seele, dein Heiland ist frei von den Banden, MH 192",,
193,12 Menuetti,minuets,c. 1774,C major,,,
194,Sehet den Reichtum,hymns,1774,F major,,,"A-Ssp Hay 1695.2, A-KR K 46/26 (600176358), A-LA 1476 (603002719)"
195,Mutter der Gnaden,offertories,1774,F major,,"Derived from “O Amaryllis” (act 2, no. 7) in MH 84",A-Ssp Hay 1685.1
196,Ein träger Berg,sacred songs,1774,D major,,,A-Ssp Hay 2005.1
197,12 Menuetti,minuets,c. 1774,C major,,,
198,Sinfonia,sinfonias,1774-04-17,D major,,,
199,Divertimento,divertimentos,1774-09-18,B-flat major,"Divertimento in B-flat major, MH 199",,
200,Memento Domine David,psalms,1774-12-18,G major,"Vesperae pro festo sanctissimae Innocentium, MH 200/294/304/307","MH 200, 294, 304, and 307 have been collected as vesper",
201,Antiphonae ad Stationes pro tribus diebus Rogationum,antiphons,c. 1773–1775,B-flat major,"Crucem sanctam, MH 201",,
202,Oratorio de Passione Dominum nostrum Jesu Christe,sacred oratorios,c. 1773–1775,E-flat major,,,
203,Leget alle Trauer nieder,duets,c. 1773–1775,G major,,,A-Ssp Hay 1680.1
204,Der Schulmeister,singspiele,c. 1773–1775,F major,,,
205,Der Baßgeiger zu Wörgl,singspiele,c. 1773–1775,C major,,,
206,Guten Morgen,canons,c. 1773–1775,F major,,,
207,Concerto,concertos,c. 1773–1775,A major,,,
208,Cassatio,cassations,c. 1773–1775,E-flat major,,,
209,Divertimento,divertimentos,c. 1773–1775,B-flat major,,,
210,6 Menuetti,minuets,c. 1773–1775,A major,,,
211,Marcia,marches,c. 1773–1775,D major,,,
212,Litaniae de Beata Virgine Maria,litanies,c. 1775,C major,,,
213,Responsoria,responsories,c. 1775,C major,"Responsoria, MH 213",,
214,Vesperae de Confessore,vespers,c. 1775,C major,"Vesperae de Confessore, MH 214",,"A-RB IV.95, D-Po M. Haydn 108 (456002640)"
215,Lauda Sion,sequences,1775,G major,"Lauda Sion, MH 215",,
216,Gibt acht ihr Hirten,arias,1775,G major,,,A-Ssp Hay 1670.1
217,Lauft ihr Hirten allzugleich,offertories,1775,B-flat major,,,"A-Ssp Hay 1675.1, A-Wn Mus.Hs.21624"
218,Die Hochzeit auf der Alm (Supplemental music),operettas,1776,G minor,,supplements MH 107,
219,Gerechter Herr und Gott,arias,c. 1776,F major,,,A-Ssp Hay 1655.1
220,Marcia,marches,c. 1776,D major,,,
221,Alma Dei creatoris,offertories,1776,E-flat major,"Alma Dei creatoris, MH 221",,A-RB R 195 (600033573)
222,Deus refugium,offertories,1776,F major,,,"A-KR D 17/112 (600176558), D-Mbs Mus.ms. 840 (456009522), A-LA 1390 (603002671)"
223,Dignare me,offertories,1776,G major,,,A-Ssp Hay 1510.1
224,Inveni David,offertories,1776,G major,"Inveni David, MH 224",,
225,Justorum animae,offertories,1776,A major,,,"A-LA 1765 (1001011691), A-LA 1376 (603002657), A-KR D 16/107 (600176342), D-Mbs Mus.ms. 282-8 (456009335)"
226,Quae est ista,offertories,1776,G major,,,"HR-Zha LXVI.N (500027078), A-Sd A 540 (659000615)"
227,Ave Regina,antiphons,before 1776-12-01,C major,,,H-Bn Ms.mus IV.1589
228,Litaniae de venerabili sacramento,litanies,1776-03-26,G minor,"Litaniae de Venerabili Sacramento, MH 228",,
229,Missa Sancti Amandi,masses,1776-03-26,C major,"Missa Sancti Amandi, MH 229",,
230,In Te mi Deus confido,motets,1776-09-24,C major,,,"H-Bn Ms.mus. II.47, A-Ee"
231,Salve Regina,antiphons,c. 1777,B-flat major,,,A-HE IV.e.4
232,Allegremente tutti,canons,c. 1777,C major,,,
233,Amar vorrei,canons,c. 1777,C major,,,
234,Canoni voi volite,canons,c. 1777,G major,,,
235,Che viver vuol contento,canons,c. 1777,G major,,,
236,Comincio solo,canons,c. 1777,C major,,,
237,Dall’amoroso,canons,c. 1777,G minor,,,
238,Frau’ Matinoi,canons,c. 1777,C major,,,
239,Gia che viene,canons,c. 1777,C major,,,
240,La mia signora,canons,c. 1777,C major,,,
241,"Mio ben, io moro",canons,c. 1777,B minor,,,
242,Perche vezzosi rai,canons,c. 1777,A major,,,
243,"Per ti, mio ben",canons,c. 1777,A minor,,,
244,Questi son canoni,canons,c. 1777,B-flat major,,,
